age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount
61,Female,Married,Master's,51412.64,4284.39,Employed,0.093,561,24996.38
25,Male,Single,High School,9211.14,767.59,Employed,0.15,530,24613.23
38,Male,Single,High School,40665.35,3388.78,Employed,0.217,669,15927.65
46,Female,Married,Bachelor's,75041.32,6253.44,Employed,0.014,672,8502.54
40,Female,Divorced,Bachelor's,20898.92,1741.58,Employed,0.17,764,12197.19
61,Female,Divorced,High School,18807.77,1567.31,Employed,0.218,707,18962.65
69,Male,Single,Other,44596.23,3716.35,Employed,0.189,669,16499.47
47,Female,Married,Bachelor's,18251.22,1520.94,Employed,0.19,647,19880.82
69,Female,Single,Bachelor's,71692.54,5974.38,Unemployed,0.165,638,24029.08
32,Female,Single,Master's,26659.74,2221.64,Employed,0.096,694,17222.8
27,Male,Married,Bachelor's,54546.68,4545.56,Employed,0.112,660,14413.74
23,Male,Single,Bachelor's,21009.22,1750.77,Employed,0.092,652,9142.7
30,Male,Married,Bachelor's,121968.3,10164.02,Self-employed,0.29,699,500
54,Male,Divorced,Other,136616.76,11384.73,Self-employed,0.319,753,12278.68
45,Female,Single,High School,71427.16,5952.26,Unemployed,0.074,725,15069.25
55,Female,Single,Master's,24108.3,2009.02,Student,0.059,654,6782.62
36,Female,Single,Bachelor's,34826.3,2902.19,Employed,0.269,793,21044.31
22,Female,Married,Master's,11088.28,924.02,Employed,0.12,636,8490.07
44,Female,Divorced,Master's,79515.75,6626.31,Employed,0.231,643,14697.85
30,Male,Married,High School,38972.94,3247.75,Employed,0.054,745,11786.66
58,Female,Married,High School,34425.23,2868.77,Employed,0.032,754,29907.57
42,Female,Single,High School,21137.34,1761.44,Employed,0.182,598,28799.33
46,Male,Married,Bachelor's,65622.27,5468.52,Self-employed,0.194,670,20842.16
63,Male,Single,PhD,50177.73,4181.48,Employed,0.363,667,14917.08
75,Female,Divorced,High School,37316.78,3109.73,Unemployed,0.25,649,19121.65
59,Female,Single,Bachelor's,47009.34,3917.44,Employed,0.158,675,14602.48
47,Male,Married,PhD,115717.4,9643.12,Employed,0.108,709,23231.93
49,Female,Single,Other,21037.73,1753.14,Self-employed,0.194,532,21582.69
67,Female,Single,Bachelor's,17072.66,1422.72,Self-employed,0.137,689,21113.09
58,Female,Married,Master's,22729.8,1894.15,Employed,0.204,656,17775.18
40,Male,Married,Bachelor's,74694.28,6224.52,Employed,0.146,580,19380.84
47,Male,Married,High School,42958.53,3579.88,Employed,0.462,609,23082.34
61,Female,Married,High School,22870.07,1905.84,Employed,0.254,627,36149.84
74,Female,Single,Bachelor's,49816.42,4151.37,Self-employed,0.042,682,24197.99
40,Male,Married,Bachelor's,26957.81,2246.48,Employed,0.111,664,3277.11
64,Male,Married,Bachelor's,40322.05,3360.17,Employed,0.094,636,14213.66
39,Male,Single,High School,48266.26,4022.19,Employed,0.135,611,9825.16
40,Male,Married,High School,25207.68,2100.64,Employed,0.173,624,14890.91
55,Female,Widowed,High School,12215.34,1017.94,Employed,0.341,725,13950.61
67,Female,Married,Other,41980.3,3498.36,Employed,0.029,626,13655.65
22,Male,Single,Other,32329,2694.08,Employed,0.26,631,19418.36
50,Male,Married,High School,25038.8,2086.57,Employed,0.132,697,14439.33
73,Female,Single,High School,42114.3,3509.52,Student,0.051,598,22372.44
54,Male,Married,PhD,52768.23,4397.35,Employed,0.199,686,12161.29
42,Female,Married,High School,9821.21,818.43,Employed,0.183,682,7511.26
23,Female,Divorced,Other,38726.32,3227.19,Self-employed,0.598,669,14436.6
26,Female,Married,Bachelor's,33841.03,2820.09,Unemployed,0.373,599,10290.76
35,Male,Single,Bachelor's,29013.36,2417.78,Employed,0.108,575,24080.68
47,Male,Married,Master's,53691.56,4474.3,Employed,0.137,677,21804.48
30,Female,Single,High School,11838.54,986.54,Self-employed,0.081,629,25563
29,Male,Single,High School,6218.12,518.18,Retired,0.118,525,6277.75
53,Male,Single,Master's,13791.43,1149.29,Unemployed,0.105,752,737.32
52,Female,Single,Other,55577.59,4631.47,Employed,0.325,752,30581.22
68,Female,Divorced,Bachelor's,27244.67,2270.39,Employed,0.112,640,4711.39
26,Female,Married,Master's,31330.57,2610.88,Unemployed,0.202,709,22234.08
61,Male,Married,Other,100966.57,8413.88,Employed,0.195,626,21121.04
56,Female,Single,High School,47096.96,3924.75,Employed,0.241,585,15241.29
22,Female,Married,Bachelor's,66926.43,5577.2,Retired,0.191,766,12889.71
49,Male,Married,High School,34884.18,2907.02,Student,0.154,706,6161.18
24,Female,Single,High School,9961.63,830.14,Retired,0.116,742,25712.37
21,Male,Widowed,Master's,31729.43,2644.12,Employed,0.196,739,21628.24
39,Male,Married,High School,22068.28,1839.02,Employed,0.135,619,39303.34
46,Male,Married,High School,22391.33,1865.94,Employed,0.203,469,14043.76
45,Female,Single,Bachelor's,45925.81,3827.15,Self-employed,0.407,775,14524.83
30,Female,Single,High School,9621.17,801.76,Employed,0.378,530,4714.01
73,Male,Married,High School,23894.75,1991.23,Employed,0.247,647,20967.93
35,Male,Married,High School,27872.82,2322.74,Employed,0.124,581,500
42,Male,Married,Master's,53481.19,4456.77,Self-employed,0.155,620,500
71,Male,Divorced,Master's,126543.29,10545.27,Self-employed,0.101,778,16958.75
68,Male,Married,Master's,10274.14,856.18,Employed,0.274,746,19469.58
41,Male,Married,Master's,38526.92,3210.58,Self-employed,0.139,617,9428.19
42,Male,Single,Other,29542.86,2461.91,Employed,0.137,805,4732.16
56,Female,Married,High School,42135.42,3511.28,Retired,0.374,685,15311.91
54,Female,Single,PhD,174187.35,14515.61,Employed,0.047,706,8579.47
50,Female,Single,Bachelor's,15632.59,1302.72,Employed,0.079,720,8354.98
45,Male,Divorced,High School,25314.94,2109.58,Self-employed,0.27,595,19487.28
65,Male,Single,Bachelor's,78051.44,6504.29,Employed,0.123,708,41351.08
48,Male,Single,Bachelor's,47380.7,3948.39,Employed,0.118,838,9393.07
21,Male,Single,High School,58548.25,4879.02,Student,0.18,629,15051.97
69,Male,Single,High School,28039.34,2336.61,Self-employed,0.075,697,15859.83
65,Female,Single,Bachelor's,64989.3,5415.78,Student,0.229,800,6842.84
24,Female,Single,Master's,62173.14,5181.1,Employed,0.264,752,12949.31
27,Male,Married,Bachelor's,44922.25,3743.52,Employed,0.446,668,13377.27
69,Male,Married,Master's,119009.57,9917.46,Employed,0.153,606,12766.92
29,Female,Married,High School,42749.8,3562.48,Employed,0.133,682,9828.1
56,Male,Widowed,Bachelor's,46869.94,3905.83,Employed,0.194,654,17382.91
39,Female,Married,High School,27870.35,2322.53,Employed,0.252,636,13911.95
21,Female,Single,Master's,47284.01,3940.33,Employed,0.164,605,500
30,Female,Single,Other,43248.97,3604.08,Employed,0.147,654,34354.79
56,Male,Married,Bachelor's,54296.78,4524.73,Retired,0.203,705,6314.49
29,Male,Married,Other,45445.37,3787.11,Self-employed,0.147,544,4439.68
65,Male,Single,Master's,45837.24,3819.77,Employed,0.434,633,500
66,Female,Single,High School,28260.74,2355.06,Employed,0.301,663,31009.17
62,Female,Married,Bachelor's,54587.43,4548.95,Employed,0.099,711,6002.62
52,Female,Married,Master's,40542.68,3378.56,Employed,0.112,734,500
52,Female,Married,Bachelor's,29883.49,2490.29,Student,0.105,711,9674.01
26,Female,Single,Bachelor's,22694.49,1891.21,Self-employed,0.132,683,20540.53
68,Female,Married,Bachelor's,60011.08,5000.92,Self-employed,0.157,684,10526.34
58,Female,Married,Bachelor's,59820.51,4985.04,Self-employed,0.17,620,500
37,Female,Married,High School,33882.59,2823.55,Employed,0.367,663,12591.74
30,Female,Married,Bachelor's,16872.33,1406.03,Unemployed,0.171,675,6649.87
70,Male,Married,Master's,88949,7412.42,Employed,0.198,675,20791.07
47,Female,Married,Master's,80407.19,6700.6,Employed,0.207,748,12076.13
74,Male,Married,Bachelor's,152463.49,12705.29,Employed,0.174,644,18409.55
70,Male,Single,Bachelor's,11779.74,981.64,Retired,0.22,715,22966.73
55,Female,Married,High School,30769.31,2564.11,Employed,0.15,534,15906.71
72,Female,Married,PhD,23344.04,1945.34,Employed,0.011,850,16417.41
41,Female,Married,Bachelor's,12439.85,1036.65,Retired,0.129,700,18987.55
45,Male,Widowed,Bachelor's,37598.75,3133.23,Self-employed,0.075,695,17182.02
48,Female,Widowed,High School,42179.1,3514.92,Employed,0.138,618,4736.7
67,Male,Married,High School,34733.97,2894.5,Unemployed,0.122,686,2149.52
35,Female,Single,High School,13755.48,1146.29,Retired,0.304,701,37522.73
24,Male,Single,Master's,52508.88,4375.74,Unemployed,0.114,522,35226.9
49,Female,Divorced,Bachelor's,17795.89,1482.99,Unemployed,0.203,703,500
29,Female,Single,Bachelor's,67986.56,5665.55,Unemployed,0.184,628,9154.47
47,Male,Widowed,PhD,65864.97,5488.75,Employed,0.061,517,17668.68
46,Female,Single,High School,45944.45,3828.7,Employed,0.119,556,17336.34
39,Female,Married,High School,28446.93,2370.58,Employed,0.248,609,17400.37
48,Male,Married,High School,39579.65,3298.3,Self-employed,0.34,698,6061.18
37,Male,Single,Bachelor's,25122.69,2093.56,Retired,0.241,826,11783.32
63,Male,Divorced,Master's,53037.59,4419.8,Employed,0.031,698,25139.73
61,Male,Married,PhD,84767.63,7063.97,Self-employed,0.035,833,15884.07
62,Female,Single,Bachelor's,79116.83,6593.07,Employed,0.082,738,10630.13
70,Female,Single,Bachelor's,36909.95,3075.83,Employed,0.128,691,5888.7
40,Male,Married,PhD,84702.16,7058.51,Self-employed,0.118,724,23112.96
65,Male,Single,Bachelor's,44490.17,3707.51,Employed,0.05,545,16337.85
60,Female,Married,High School,8983.72,748.64,Unemployed,0.409,646,11684.36
59,Male,Single,Master's,79250.75,6604.23,Retired,0.146,578,19974.77
69,Male,Single,Master's,40580.87,3381.74,Unemployed,0.138,701,13973
73,Male,Single,Bachelor's,48042.43,4003.54,Employed,0.057,775,500
43,Female,Single,High School,28625.06,2385.42,Unemployed,0.137,673,20740.45
67,Female,Single,Bachelor's,81175.54,6764.63,Unemployed,0.3,725,43760.99
52,Female,Widowed,Bachelor's,23319.43,1943.29,Student,0.082,640,3891.8
72,Male,Single,High School,76870.5,6405.88,Employed,0.053,844,18749.88
67,Female,Single,Bachelor's,20135.2,1677.93,Employed,0.248,726,9660.75
53,Female,Single,High School,42653.73,3554.48,Unemployed,0.253,705,26492.6
66,Female,Married,Bachelor's,83189.28,6932.44,Self-employed,0.201,736,16345.06
25,Male,Married,High School,88596.3,7383.02,Unemployed,0.234,685,21984.11
63,Female,Married,Other,60667.56,5055.63,Self-employed,0.338,535,500
68,Female,Single,High School,71003.1,5916.92,Employed,0.151,732,11226.44
54,Male,Married,Bachelor's,63293.11,5274.43,Unemployed,0.334,703,500
60,Male,Married,High School,28305.81,2358.82,Employed,0.067,627,10647.11
31,Female,Married,High School,49600.59,4133.38,Employed,0.201,594,17194.48
70,Female,Single,Bachelor's,43106.76,3592.23,Self-employed,0.011,743,19152.2
23,Female,Married,High School,70035.98,5836.33,Employed,0.157,703,15675.09
53,Female,Single,Bachelor's,72923.53,6076.96,Self-employed,0.052,679,19384.06
31,Female,Single,High School,37577.82,3131.48,Employed,0.148,811,10552.23
36,Male,Single,Bachelor's,34333.55,2861.13,Employed,0.135,629,2744.9
38,Male,Single,Master's,68231.5,5685.96,Retired,0.271,620,16287.83
50,Female,Single,Other,32569.27,2714.11,Self-employed,0.17,780,14016.32
68,Male,Married,Bachelor's,72097.83,6008.15,Self-employed,0.13,720,30633.21
75,Male,Married,Master's,39580.59,3298.38,Self-employed,0.07,724,25461.89
30,Female,Married,Master's,26185.76,2182.15,Employed,0.364,641,25653.64
38,Female,Single,High School,28898.36,2408.2,Self-employed,0.199,642,9482.94
58,Male,Married,Master's,6638.18,553.18,Employed,0.147,600,15192.84
39,Male,Married,Bachelor's,35007.88,2917.32,Employed,0.078,706,18366.16
56,Male,Single,High School,53293.12,4441.09,Self-employed,0.382,782,5966.15
33,Male,Married,Other,167946.55,13995.55,Unemployed,0.173,595,4766.27
66,Female,Married,High School,25077.8,2089.82,Student,0.026,733,8223.27
23,Male,Single,Bachelor's,29587.72,2465.64,Unemployed,0.117,708,7848.33
30,Female,Single,Bachelor's,24326.21,2027.18,Employed,0.085,689,19710.3
58,Female,Single,Bachelor's,22920.39,1910.03,Employed,0.117,727,18007.67
21,Female,Widowed,Bachelor's,51474.29,4289.52,Self-employed,0.088,605,14587.7
75,Male,Single,High School,28727.2,2393.93,Employed,0.141,719,16071.45
47,Female,Single,Bachelor's,23531.99,1961,Student,0.048,688,14105.64
66,Male,Married,High School,46265.73,3855.48,Employed,0.071,698,11669.78
28,Male,Married,High School,50543.23,4211.94,Self-employed,0.445,671,11290.54
71,Female,Single,Master's,23875.86,1989.66,Employed,0.079,806,500
66,Female,Married,Master's,69831.37,5819.28,Employed,0.09,667,12505.66
62,Female,Married,Bachelor's,98773.48,8231.12,Employed,0.182,624,11641.19
37,Male,Married,High School,55624.08,4635.34,Employed,0.053,663,8894.05
29,Male,Married,Bachelor's,50239.37,4186.61,Self-employed,0.064,662,9369.99
26,Female,Single,High School,9199.19,766.6,Student,0.101,630,15365.64
63,Female,Divorced,Master's,21834.32,1819.53,Employed,0.3,745,11567.5
45,Female,Married,High School,15858.1,1321.51,Retired,0.169,717,21799.61
59,Female,Divorced,Bachelor's,63446.89,5287.24,Employed,0.083,637,1915.75
69,Male,Married,Bachelor's,65356.2,5446.35,Self-employed,0.08,703,23490.78
48,Female,Married,Other,47399.33,3949.94,Employed,0.058,648,26887.86
53,Male,Single,High School,31227.24,2602.27,Employed,0.071,662,22052.8
74,Female,Single,High School,30973.87,2581.16,Employed,0.107,588,500
57,Female,Single,Other,367316.11,30609.68,Employed,0.097,701,16932.79
29,Female,Single,Bachelor's,58655.17,4887.93,Employed,0.041,686,4404.45
38,Female,Married,Master's,34335.97,2861.33,Employed,0.141,560,6721.09
41,Male,Single,Master's,48722,4060.17,Student,0.133,655,11635.36
22,Female,Single,Bachelor's,16842.26,1403.52,Self-employed,0.474,720,16454.74
63,Male,Married,High School,51198.58,4266.55,Employed,0.121,727,22746.64
58,Male,Divorced,High School,31234.45,2602.87,Retired,0.37,711,16877.01
60,Male,Married,Master's,49174.48,4097.87,Employed,0.067,657,9344.62
56,Female,Married,Master's,20560.12,1713.34,Employed,0.122,601,28982.63
70,Male,Married,Bachelor's,108398.57,9033.21,Self-employed,0.14,628,24996.44
63,Male,Married,Bachelor's,21360.31,1780.03,Employed,0.039,625,616.03
57,Female,Married,High School,29576.33,2464.69,Student,0.125,687,500
35,Female,Widowed,Bachelor's,18752.42,1562.7,Employed,0.214,683,1634.72
48,Male,Single,PhD,23487.08,1957.26,Employed,0.051,771,11678.89
38,Male,Married,Master's,33426.4,2785.53,Self-employed,0.124,633,10504.47
54,Female,Married,Bachelor's,37410.42,3117.54,Employed,0.22,755,500
42,Female,Married,Bachelor's,31419.59,2618.3,Employed,0.138,692,27898.02
31,Male,Married,Master's,49273.17,4106.1,Employed,0.427,696,3498.11
33,Female,Married,Bachelor's,149044.95,12420.41,Self-employed,0.073,828,10626.73
24,Female,Married,Bachelor's,32313.4,2692.78,Employed,0.157,628,11404.09
42,Female,Single,Bachelor's,26890.45,2240.87,Employed,0.397,834,24644.88
27,Female,Single,High School,82978.39,6914.87,Employed,0.159,617,21924.98
63,Female,Single,High School,20566.51,1713.88,Employed,0.082,767,500
74,Female,Single,High School,97724.78,8143.73,Self-employed,0.183,708,500
44,Male,Single,High School,12077.99,1006.5,Employed,0.142,577,17231.08
24,Female,Married,High School,66225.93,5518.83,Employed,0.169,751,19989.21
48,Female,Married,High School,20576.55,1714.71,Employed,0.073,733,19579.2
35,Male,Married,High School,20189.91,1682.49,Employed,0.324,729,20540.73
21,Female,Married,High School,46007.44,3833.95,Student,0.348,665,27268.72
75,Male,Married,Bachelor's,62846.12,5237.18,Employed,0.259,681,24154.13
23,Male,Single,Bachelor's,55064.35,4588.7,Unemployed,0.096,640,26754.13
34,Male,Married,Other,24047.86,2003.99,Unemployed,0.16,625,20206.08
58,Female,Married,Bachelor's,61014.33,5084.53,Retired,0.22,641,39194.07
70,Female,Single,High School,22025.13,1835.43,Employed,0.143,623,23780.91
21,Male,Single,Bachelor's,31200.21,2600.02,Employed,0.067,702,13925.66
58,Female,Single,Master's,25690.1,2140.84,Employed,0.147,737,24306.09
58,Male,Married,Bachelor's,33189.5,2765.79,Employed,0.236,706,8563.3
41,Female,Married,High School,26241.52,2186.79,Employed,0.147,750,19028.67
68,Female,Married,PhD,40443.34,3370.28,Unemployed,0.287,680,18781.77
49,Female,Single,High School,16125.86,1343.82,Employed,0.298,760,21819.76
25,Female,Single,Other,51723.7,4310.31,Unemployed,0.207,721,4767.45
69,Male,Single,Master's,26857.62,2238.13,Employed,0.353,514,25469.2
30,Female,Single,Bachelor's,19289.57,1607.46,Employed,0.168,742,13663.2
48,Female,Single,Bachelor's,67464.7,5622.06,Employed,0.313,579,25646.34
41,Male,Single,High School,110905.39,9242.12,Employed,0.207,757,16111.67
70,Female,Married,Master's,50701.6,4225.13,Employed,0.063,672,16923.97
27,Female,Single,Bachelor's,41929.43,3494.12,Employed,0.312,690,12411.32
23,Male,Single,Bachelor's,28759.15,2396.6,Employed,0.241,656,12007.57
65,Female,Married,High School,16336.13,1361.34,Employed,0.091,725,18690.54
67,Female,Married,High School,51330.54,4277.54,Employed,0.088,629,12099.73
40,Female,Married,Bachelor's,14207.45,1183.95,Employed,0.039,672,500
39,Male,Single,Bachelor's,47955.69,3996.31,Employed,0.055,744,13885.23
55,Male,Married,Bachelor's,12861.51,1071.79,Employed,0.116,715,500
24,Male,Divorced,Bachelor's,41015.46,3417.96,Retired,0.349,532,4881.88
25,Female,Single,Master's,78590.81,6549.23,Employed,0.151,663,5999.76
21,Female,Single,Bachelor's,45196.11,3766.34,Student,0.236,766,20205.27
24,Female,Married,Bachelor's,70566.55,5880.55,Self-employed,0.099,660,37962.49
32,Male,Divorced,Master's,87837.48,7319.79,Employed,0.165,671,10953.63
47,Male,Single,Master's,37188.04,3099,Retired,0.126,629,17911
62,Female,Single,Bachelor's,110463.2,9205.27,Employed,0.357,691,26138.26
43,Female,Married,Other,30666.8,2555.57,Employed,0.199,651,17157.33
45,Female,Single,Bachelor's,20170.63,1680.89,Employed,0.307,745,500
41,Female,Divorced,High School,20066.1,1672.18,Employed,0.094,721,9106.54
72,Female,Single,Bachelor's,64346.44,5362.2,Employed,0.216,767,19467.37
44,Female,Married,High School,31365.13,2613.76,Employed,0.226,726,20173.16
45,Female,Single,PhD,27979.89,2331.66,Student,0.257,687,33641.58
65,Male,Single,Bachelor's,56623.7,4718.64,Employed,0.202,711,18937.42
75,Female,Widowed,Bachelor's,14241.65,1186.8,Retired,0.029,620,29495.88
66,Female,Single,Bachelor's,175420.6,14618.38,Student,0.2,764,7980.2
52,Male,Single,High School,18016.2,1501.35,Employed,0.116,732,500
75,Male,Married,Master's,52531.54,4377.63,Employed,0.257,633,16122.52
52,Male,Single,Master's,50296.49,4191.37,Employed,0.204,620,37146.25
25,Female,Single,Other,33307.03,2775.59,Employed,0.336,674,8166.32
56,Male,Single,Bachelor's,70679,5889.92,Unemployed,0.205,727,33545.34
66,Male,Married,Bachelor's,59515.55,4959.63,Employed,0.316,657,23198.68
62,Female,Married,Master's,34002.92,2833.58,Employed,0.291,678,13004.19
69,Male,Married,High School,52879.66,4406.64,Self-employed,0.079,600,12855.21
62,Female,Married,High School,9685.72,807.14,Employed,0.044,767,19885.91
59,Female,Single,High School,28533.25,2377.77,Employed,0.238,694,500
36,Female,Single,Other,50592.91,4216.08,Employed,0.127,584,14060.96
53,Male,Married,High School,24426.43,2035.54,Employed,0.038,742,20142.95
69,Male,Married,Master's,34563.6,2880.3,Employed,0.194,712,17621.85
41,Male,Divorced,Bachelor's,32489.25,2707.44,Employed,0.161,595,18540.55
29,Female,Divorced,High School,13025.16,1085.43,Student,0.232,620,17291.67
26,Female,Single,PhD,62715.93,5226.33,Employed,0.209,739,17428.58
71,Male,Married,Bachelor's,39241.58,3270.13,Employed,0.046,714,13875.94
65,Female,Married,Bachelor's,17912.48,1492.71,Employed,0.073,692,1877.52
55,Male,Single,High School,110066.43,9172.2,Self-employed,0.103,637,22083.28
59,Other,Single,Bachelor's,40681.95,3390.16,Employed,0.053,850,13370.68
42,Female,Married,Master's,41926.9,3493.91,Employed,0.131,599,14792.51
61,Female,Married,Bachelor's,34281.11,2856.76,Student,0.016,597,19247.61
74,Female,Married,Bachelor's,113954.81,9496.23,Employed,0.149,782,4644.6
25,Female,Married,High School,63543.39,5295.28,Employed,0.138,744,15426.7
62,Female,Married,Master's,23828.93,1985.74,Employed,0.044,589,21979.88
43,Female,Single,Master's,10445.4,870.45,Employed,0.289,720,17267.85
37,Female,Married,Master's,54587.96,4549,Self-employed,0.301,751,20878.69
32,Female,Married,High School,33656.94,2804.75,Employed,0.078,683,2365.34
43,Female,Married,Bachelor's,29331.71,2444.31,Employed,0.01,738,17687.4
36,Female,Married,High School,33207.39,2767.28,Employed,0.081,582,14467.63
23,Female,Divorced,Bachelor's,12325.94,1027.16,Employed,0.104,645,8058.21
50,Female,Single,Bachelor's,39422.79,3285.23,Employed,0.214,725,12283.37
42,Male,Divorced,PhD,31268.01,2605.67,Self-employed,0.194,617,15654
29,Male,Married,Other,27782.09,2315.17,Employed,0.245,760,15527.96
49,Male,Married,Bachelor's,37792.48,3149.37,Employed,0.08,698,28204.19
67,Female,Single,Bachelor's,92576.69,7714.72,Self-employed,0.176,621,14297.63
57,Male,Single,Bachelor's,29656.95,2471.41,Employed,0.323,781,23046.2
43,Other,Married,High School,76962.89,6413.57,Employed,0.162,741,16008.6
33,Female,Married,Master's,40031.32,3335.94,Employed,0.453,770,8901.11
52,Female,Single,Bachelor's,81123.07,6760.26,Self-employed,0.211,715,12540.84
66,Male,Married,Bachelor's,35024.12,2918.68,Employed,0.227,735,10296.13
72,Female,Married,Master's,21519.01,1793.25,Employed,0.089,686,20569.53
67,Female,Single,Other,130321.28,10860.11,Employed,0.238,648,20571.71
68,Female,Single,Bachelor's,66856.33,5571.36,Employed,0.077,708,1420.21
43,Male,Single,Bachelor's,85763.78,7146.98,Retired,0.233,746,13153.58
65,Female,Single,Other,52132.13,4344.34,Employed,0.182,712,21491.86
37,Female,Single,Bachelor's,37743.95,3145.33,Employed,0.323,832,9611.46
75,Female,Married,Master's,65808.55,5484.05,Employed,0.012,712,15623.97
60,Female,Single,High School,51688.3,4307.36,Employed,0.259,587,22410.48
41,Female,Single,Bachelor's,26427.53,2202.29,Employed,0.062,706,10996.79
22,Female,Married,Bachelor's,48166.31,4013.86,Self-employed,0.109,730,23645.79
57,Female,Widowed,Bachelor's,29569.83,2464.15,Employed,0.099,753,17613.76
26,Female,Single,PhD,16829.69,1402.47,Employed,0.195,649,22562.42
64,Female,Divorced,Bachelor's,35023.61,2918.63,Employed,0.174,627,22194.23
38,Male,Single,Other,25281.87,2106.82,Employed,0.063,726,3739.11
50,Male,Single,Bachelor's,128222.51,10685.21,Employed,0.1,674,28085.3
42,Male,Married,High School,19292.23,1607.69,Employed,0.075,700,28920.26
74,Male,Married,High School,27968.62,2330.72,Employed,0.082,731,14383.16
53,Male,Married,High School,25801.85,2150.15,Unemployed,0.099,702,25128.26
50,Male,Married,Bachelor's,58083.67,4840.31,Employed,0.169,735,16166.39
37,Female,Single,High School,42265.53,3522.13,Employed,0.078,683,19665.56
63,Male,Married,Bachelor's,114091.82,9507.65,Employed,0.099,668,31120.88
52,Male,Married,Master's,89792.38,7482.7,Unemployed,0.467,724,20943.04
62,Female,Married,High School,38691.46,3224.29,Employed,0.295,850,9230.47
71,Female,Single,High School,18957.31,1579.78,Employed,0.099,681,13631.98
34,Female,Single,Bachelor's,45481.82,3790.15,Employed,0.042,685,11289.82
30,Female,Married,Bachelor's,41789.26,3482.44,Self-employed,0.24,631,10463.1
67,Male,Divorced,PhD,14833.4,1236.12,Employed,0.14,686,16986.87
71,Male,Single,Bachelor's,32181.04,2681.75,Retired,0.168,792,12891.31
56,Male,Single,Other,40947.45,3412.29,Self-employed,0.124,675,20086.28
54,Male,Single,High School,37278.69,3106.56,Employed,0.2,581,19143.63
29,Male,Married,Bachelor's,20196.66,1683.06,Employed,0.149,661,19656.91
62,Other,Single,Master's,36053.36,3004.45,Employed,0.221,564,13429.76
48,Male,Single,Master's,33852.92,2821.08,Unemployed,0.096,695,19242.92
31,Male,Married,Bachelor's,48678.23,4056.52,Unemployed,0.095,641,15175.31
34,Male,Single,Bachelor's,21035.97,1753,Employed,0.168,760,16978.77
59,Female,Single,High School,73357.1,6113.09,Employed,0.343,701,12606.97
75,Male,Single,High School,48921.37,4076.78,Unemployed,0.079,707,9464.33
67,Male,Single,High School,16422.23,1368.52,Employed,0.149,684,10137.92
74,Male,Single,High School,42701.25,3558.44,Employed,0.24,620,25399.36
39,Male,Single,Master's,37248,3104,Employed,0.314,750,29721.72
74,Male,Single,High School,34510.54,2875.88,Employed,0.204,715,13630.94
35,Female,Married,Bachelor's,15039.96,1253.33,Self-employed,0.086,534,13992.55
48,Male,Single,Other,30011.84,2500.99,Employed,0.289,657,500
44,Female,Married,Bachelor's,24811.46,2067.62,Unemployed,0.121,693,13433.98
28,Female,Single,High School,27740.05,2311.67,Employed,0.109,478,2719.62
63,Female,Single,Bachelor's,62594.75,5216.23,Employed,0.09,669,25381.65
29,Male,Married,Master's,24258.27,2021.52,Employed,0.314,702,2787.14
67,Male,Single,High School,135322.19,11276.85,Unemployed,0.588,741,22257.14
53,Male,Single,Master's,160538.84,13378.24,Employed,0.233,772,30620.07
53,Female,Married,High School,45065.71,3755.48,Employed,0.148,718,19477.84
39,Female,Married,Bachelor's,16804.47,1400.37,Employed,0.056,736,4657.45
23,Male,Married,High School,16800.12,1400.01,Employed,0.372,480,12507.84
30,Female,Married,Bachelor's,48274.11,4022.84,Employed,0.192,662,13830.9
60,Female,Single,Bachelor's,31610.26,2634.19,Employed,0.373,766,20932.67
67,Female,Divorced,Master's,23489.53,1957.46,Unemployed,0.194,651,500
62,Male,Divorced,Bachelor's,36593.17,3049.43,Employed,0.112,691,6077.03
21,Female,Single,Master's,16657.67,1388.14,Employed,0.05,675,34177.19
49,Male,Married,High School,151743.19,12645.27,Employed,0.362,629,27386.03
70,Female,Single,Bachelor's,51287.48,4273.96,Employed,0.22,584,15649.78
54,Male,Married,High School,96998.26,8083.19,Employed,0.232,714,5891.43
71,Male,Single,Bachelor's,64711.52,5392.63,Unemployed,0.091,621,12313.45
33,Female,Married,Bachelor's,57355.62,4779.64,Employed,0.104,724,22587.41
74,Female,Single,High School,21297.63,1774.8,Employed,0.187,571,14586.12
21,Male,Married,High School,7485.59,623.8,Unemployed,0.105,754,14068.38
54,Male,Single,Master's,67866.68,5655.56,Employed,0.105,648,29397.25
49,Female,Married,High School,36727.79,3060.65,Self-employed,0.121,652,18453.05
68,Female,Married,Bachelor's,136536.11,11378.01,Employed,0.483,678,9950.78
67,Female,Married,Bachelor's,28072.43,2339.37,Self-employed,0.075,577,24279.9
33,Female,Single,High School,36822.39,3068.53,Employed,0.154,704,14792.93
68,Male,Married,High School,29701.22,2475.1,Retired,0.194,748,9357.03
69,Female,Single,Bachelor's,80893.25,6741.1,Employed,0.255,704,17089.09
73,Female,Married,High School,8516.16,709.68,Employed,0.189,731,29673.96
49,Female,Married,PhD,46079.95,3840,Employed,0.171,708,22488.45
59,Male,Married,Other,24555.61,2046.3,Retired,0.229,787,17622.81
44,Female,Married,Bachelor's,37995.21,3166.27,Employed,0.189,543,8702.03
46,Female,Married,High School,92409.98,7700.83,Unemployed,0.135,577,28423.1
